Fonte: https://tempo.inmet.gov.br/TabelaEstacoes/A001;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;média;quantil 0,25;quantil 0,75;;;;;;;;;;;;;;;;;
;24,13811475;22,575;25,125;;;;;;;;;;;;;;;;;
Data;Hora (UTC);hora-utc;hora-salvador;Temp. Max. (C);Temp. Ins. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/08/2024;0;00:00;21:00;24,3;24,2;24,1;73;75;72;19;19,4;19;1014,8;1014,8;1014,5;1,9;168;6,1;;0
01/08/2024;100;01:00;22:00;24,5;24,3;24,1;73;74;72;19,1;19,4;19;1015;1015,1;1014,8;1,7;167;6,9;;0
01/08/2024;200;02:00;23:00;24,4;24,1;24;72;74;69;18,7;19,3;18,3;1015;1015,1;1015;1,7;166;7;;0
01/08/2024;300;03:00;00:00;24,5;24,3;24,1;72;73;70;18,8;19,1;18,5;1014,6;1015;1014,6;2;163;6,6;;0
01/08/2024;400;04:00;01:00;24,4;24,1;24,1;73;75;71;18,9;19,6;18,8;1014,1;1014,6;1014,1;1,4;154;5,5;;0
01/08/2024;500;05:00;02:00;24,2;24,1;23,9;74;75;73;19,2;19,3;18,9;1013,7;1014,1;1013,7;1,5;163;7;;0
01/08/2024;600;06:00;03:00;24,1;23,9;23,8;76;76;74;19,5;19,5;19;1013,3;1013,7;1013,3;1,6;152;5,6;;0
01/08/2024;700;07:00;04:00;24;23,8;23,8;77;77;74;19,5;19,6;19,1;1013,4;1013,4;1013,3;1,4;153;6,1;;0
01/08/2024;800;08:00;05:00;24;23,7;23,7;78;78;75;19,7;19,8;19,2;1013,5;1013,5;1013,3;1,5;170;6;;0
01/08/2024;900;09:00;06:00;23,9;23,9;23,6;79;79;76;20;20;19,4;1014;1014;1013,5;1,6;167;5,5;;0
01/08/2024;1000;10:00;07:00;24,3;24,2;23,9;79;81;78;20,3;20,6;20;1014,5;1014,5;1014;1,5;168;6,2;116,4;0
01/08/2024;1100;11:00;08:00;25;24,9;24,1;76;80;76;20,4;20,7;20,3;1015;1015;1014,5;2;174;5,7;397,1;0
01/08/2024;1200;12:00;09:00;26,2;25,4;24,9;75;77;72;20,5;21,3;20,3;1015,5;1015,5;1015;2,4;174;6,9;1163;0
01/08/2024;1300;13:00;10:00;26,7;26,6;24,9;72;79;71;21,1;21,5;20,4;1015,6;1015,7;1015,5;2;169;6,9;1399,7;0
01/08/2024;1400;14:00;11:00;27,9;27,6;26,4;67;74;67;20,9;22;20,8;1015,4;1015,6;1015,4;1,4;167;5,8;2278,5;0
01/08/2024;1500;15:00;12:00;28,5;28,1;27;67;70;63;21,5;21,6;20,5;1014,7;1015,4;1014,7;1;158;6;2916,7;0
01/08/2024;1600;16:00;13:00;28,4;27,7;27,4;66;70;65;20,8;21,8;20,5;1013,9;1014,7;1013,9;1,4;158;4,3;2588,7;0
01/08/2024;1700;17:00;14:00;28,5;22,9;22,9;86;86;64;20,3;22;20,1;1013,7;1013,9;1013,4;1,7;129;5,9;1862,8;3,4
01/08/2024;1800;18:00;15:00;24,8;24,8;22,2;87;92;86;22,6;22,9;20,5;1013,1;1013,7;1013,1;0,6;150;5,5;880,4;1
01/08/2024;1900;19:00;16:00;25,5;24,5;24,4;84;87;80;21,5;22,6;20,9;1012,9;1013,1;1012,9;1,3;176;3,1;1442;0
01/08/2024;2000;20:00;17:00;25;23,7;23,5;87;87;84;21,4;22,4;20,9;1013,1;1013,1;1012,9;1,3;173;4,6;425,7;0
01/08/2024;2100;21:00;18:00;24;23,9;23,6;86;88;85;21,3;21,6;21,2;1013,4;1013,4;1013,1;1,5;159;6,1;19,7;0
01/08/2024;2200;22:00;19:00;24;23,4;23;91;91;85;21,8;21,8;21,2;1013,8;1013,8;1013,4;1,1;145;6,1;;1
01/08/2024;2300;23:00;20:00;23,5;23,4;23,1;88;91;87;21,2;21,8;21,2;1014,2;1014,2;1013,8;1,4;145;4,9;;0
02/08/2024;2400;00:00;21:00;23,8;23,7;23,4;85;88;85;21;21,3;20,9;1014,4;1014,4;1014,2;1,5;158;4,8;;0
02/08/2024;2500;01:00;22:00;24,1;24;23,6;85;85;83;21,2;21,2;20,8;1014,4;1014,5;1014,4;1,5;154;5,6;;0
02/08/2024;2600;02:00;23:00;24,1;24;23,7;82;86;82;20,7;21,3;20,7;1014,4;1014,4;1014,3;1,4;149;6,5;;0
02/08/2024;2700;03:00;00:00;24,2;24,1;23,8;81;83;81;20,7;20,9;20,6;1014;1014,4;1014;1,7;157;5,4;;0
02/08/2024;2800;04:00;01:00;24,1;23,9;23,8;82;83;81;20,6;21;20,6;1013,6;1014;1013,6;1,3;145;5,4;;0
02/08/2024;2900;05:00;02:00;24,1;24;23,8;82;82;80;20,6;20,8;20,2;1013;1013,6;1013;1,3;143;6,3;;0
02/08/2024;3000;06:00;03:00;24;23,8;23,7;82;82;81;20,5;20,6;20,3;1012,6;1013;1012,5;1;140;5;;0
02/08/2024;3100;07:00;04:00;24;23,3;23,3;83;83;78;20,2;20,7;19,6;1012,7;1012,7;1012,5;1,4;166;4,8;;0
02/08/2024;3200;08:00;05:00;23,5;23,5;22,9;86;87;83;21;21,1;20,1;1012,9;1012,9;1012,6;1,1;139;4,4;;0
02/08/2024;3300;09:00;06:00;23,9;23,9;23,5;80;86;79;20,2;21;20,1;1013,2;1013,2;1012,9;1,2;154;5,5;;0
02/08/2024;3400;10:00;07:00;24,1;22,8;22,6;91;91;80;21,3;21,3;20,1;1013,7;1013,7;1013,2;1,1;148;5,2;151,1;1,8
02/08/2024;3500;11:00;08:00;23,4;23;22,6;91;91;89;21,4;21,5;20,9;1014,6;1014,6;1013,7;1,8;176;5,4;298,6;1,6
02/08/2024;3600;12:00;09:00;24,5;24,5;22,9;88;92;88;22,4;22,5;21,1;1015;1015;1014,6;1;138;6,5;1084,3;0
02/08/2024;3700;13:00;10:00;26,1;25,9;24,5;75;88;74;21,1;22,4;20,6;1015,1;1015,1;1015;1,6;142;7,2;2268,5;0
02/08/2024;3800;14:00;11:00;26,7;26,2;24,9;77;79;73;21,9;22,2;20,5;1014,8;1015,1;1014,8;1,5;146;6,1;2329,9;0
02/08/2024;3900;15:00;12:00;27,3;26,7;25,7;70;77;69;20,8;21,9;20,2;1014;1014,8;1014;1,6;154;5,3;2664,2;0
02/08/2024;4000;16:00;13:00;27,4;27,4;26,3;67;74;65;20,8;21,5;20;1013,4;1014;1013,4;1,6;147;6,4;2483,2;0
02/08/2024;4100;17:00;14:00;27,7;27,3;26,8;67;69;64;20,7;21;20;1012,8;1013,4;1012,8;1,3;148;6,4;2377,1;0
02/08/2024;4200;18:00;15:00;27,5;26,8;26,5;66;72;66;20;21,3;20;1012,5;1012,8;1012,4;1,8;143;6,2;1818,1;0
02/08/2024;4300;19:00;16:00;26,9;26,1;25,8;70;73;66;20,3;20,8;19,9;1012,7;1012,7;1012,5;1,2;140;6,2;1264,6;0
02/08/2024;4400;20:00;17:00;26,1;24,7;24,7;75;76;70;20,1;20,4;19,6;1012,7;1012,7;1012,6;1,2;149;6;451,6;0
02/08/2024;4500;21:00;18:00;24,8;24,5;24,4;76;77;75;20;20,3;19,7;1012,9;1012,9;1012,7;1,5;133;6,5;18,7;0
02/08/2024;4600;22:00;19:00;24,6;24,4;24,3;76;78;75;19,8;20,3;19,8;1013,1;1013,1;1012,8;1,7;139;6,2;;0
02/08/2024;4700;23:00;20:00;24,4;24,3;24,1;76;79;74;19,7;20,3;19,6;1013,6;1013,7;1013,1;1,7;133;7;;0
03/08/2024;4800;00:00;21:00;24,4;24,2;24,1;78;79;75;20,2;20,3;19,7;1014;1014;1013,6;1,5;142;7,2;;0
03/08/2024;4900;01:00;22:00;24,4;24,3;24,1;77;79;77;20;20,3;20;1014,2;1014,2;1013,9;1,5;146;5,5;;0
03/08/2024;5000;02:00;23:00;24,5;24,4;24,1;78;79;77;20,4;20,5;20;1014,3;1014,3;1014,2;1,9;155;5,6;;0
03/08/2024;5100;03:00;00:00;24,5;24,3;24,3;79;80;77;20,4;20,7;20,1;1013,9;1014,3;1013,9;1,6;130;6,3;;0
03/08/2024;5200;04:00;01:00;24,4;24,2;24,1;78;79;76;20,2;20,4;19,9;1013,5;1013,9;1013,4;1,2;131;6,8;;0
03/08/2024;5300;05:00;02:00;24,3;23,9;23,8;76;79;73;19,3;20,4;19;1012,9;1013,5;1012,9;1;122;5,3;;0
03/08/2024;5400;06:00;03:00;24,2;24;23,8;77;77;75;19,7;19,9;19,2;1012,4;1012,9;1012,4;1,3;130;6,2;;0
03/08/2024;5500;07:00;04:00;24,1;23,9;23,5;75;77;75;19,3;19,7;19;1012,4;1012,5;1012,4;1,3;118;6,2;;0
03/08/2024;5600;08:00;05:00;23,9;23,7;23,5;74;77;73;18,7;19,4;18,6;1012,5;1012,5;1012,4;1,2;113;6;;0
03/08/2024;5700;09:00;06:00;23,8;23,6;23,3;76;78;72;19,1;19,3;18,5;1012,7;1012,8;1012,5;1;77;5,1;;0
03/08/2024;5800;10:00;07:00;24;24;23,6;75;76;73;19,4;19,4;18,8;1013,3;1013,3;1012,7;0,9;104;4,8;122,4;0
03/08/2024;5900;11:00;08:00;25,2;25;24;71;76;70;19,4;20;19,3;1014;1014;1013,3;1,2;138;5;473,8;0
03/08/2024;6000;12:00;09:00;26,6;26,6;25;66;71;64;19,9;19,9;18,8;1014,6;1014,6;1014;1,4;105;5,5;1632,7;0
03/08/2024;6100;13:00;10:00;27,4;27,1;26,6;63;66;61;19,4;20,1;18,8;1014,8;1014,8;1014,6;1,4;115;5,7;2377,2;0
03/08/2024;6200;14:00;11:00;27,9;27,5;27,1;62;65;60;19,6;20,4;19,1;1014,7;1014,9;1014,7;1,4;129;5,6;2663,1;0
03/08/2024;6300;15:00;12:00;28,4;23,1;23,1;78;78;60;19,1;20,5;18,9;1014,8;1015;1014,4;2,1;74;7,5;1951,7;0
03/08/2024;6400;16:00;13:00;27,4;27,1;22,9;62;80;57;19,2;20,6;17,7;1013,6;1014,8;1013,6;1,1;141;5,9;2040,3;0
03/08/2024;6500;17:00;14:00;28;26,5;26,4;70;70;58;20,5;20,7;18,8;1012,8;1013,6;1012,8;1,3;146;5,5;2098,4;0
03/08/2024;6600;18:00;15:00;26,5;26;24,1;71;79;69;20,4;21;19,1;1012,6;1013;1012,6;1,1;140;6,3;1045,6;0,2
03/08/2024;6700;19:00;16:00;26,8;26,1;25,9;70;72;68;20,2;20,9;19,6;1012,4;1012,6;1012,3;1,4;125;6,2;1379,5;0
03/08/2024;6800;20:00;17:00;26,2;24,6;24,6;75;76;69;19,9;20,3;19,6;1012,6;1012,7;1012,4;0,7;160;6,2;324,9;0
03/08/2024;6900;21:00;18:00;24,7;24,5;24,3;75;77;74;19,8;20;19,6;1012,5;1012,7;1012,5;1,2;144;5,5;24,2;0
03/08/2024;7000;22:00;19:00;24,6;22,8;22,5;89;89;75;20,8;20,8;19,8;1012,9;1012,9;1012,5;1,2;126;6;;0,6
03/08/2024;7100;23:00;20:00;23,4;22,9;22,6;82;89;82;19,7;20,9;19,7;1013,6;1013,6;1012,9;1,1;105;4,9;;0
04/08/2024;7200;00:00;21:00;23,7;23,7;23;76;82;76;19,2;19,8;18,9;1014,1;1014,1;1013,5;1,1;115;5,9;;0
04/08/2024;7300;01:00;22:00;23,9;23,8;23,4;74;76;73;18,9;19,1;18,6;1014,4;1014,4;1014,1;0,9;99;6,1;;0
04/08/2024;7400;02:00;23:00;24,2;23,9;23,6;74;74;72;18,9;18,9;18,4;1014,3;1014,5;1014,3;1,2;96;5,9;;0
04/08/2024;7500;03:00;00:00;24,1;23,6;23,4;80;81;72;20;20,1;18,8;1013,9;1014,3;1013,8;1,2;119;5,8;;0,2
04/08/2024;7600;04:00;01:00;23,7;23,4;23,2;76;82;75;19;20;18,9;1013,2;1013,9;1013,2;1,1;101;4,3;;0
04/08/2024;7700;05:00;02:00;23,7;23,6;23,2;74;76;74;18,7;18,9;18,6;1012,8;1013,2;1012,7;0,9;100;4,6;;0
04/08/2024;7800;06:00;03:00;24;23;22,9;80;80;74;19,3;19,3;18,6;1012,5;1012,8;1012,5;1;112;5,9;;0
04/08/2024;7900;07:00;04:00;23,5;23,5;22,9;82;84;80;20,3;20,4;19,4;1012,4;1012,5;1012,3;0,9;103;4,2;;0
04/08/2024;8000;08:00;05:00;23,6;23,3;23;83;83;81;20,2;20,4;19,8;1012,5;1012,5;1012,2;0,6;113;4,5;;0
